position,anchor_track,track_name,EV_score,camelot,arc_cost,left_transition_cost,right_transition_cost,anchor_alignment_cost
162,119,Kala Chashma,0.7717264070211832,8B,0.2471829095050998,0.5648060034926758,0.5185723742564337,1.3305612872542092
115,70,You Belong With Me (Taylor’s Version),0.6319409741385262,2B,0.2013705795990366,0.47565056009013473,0.6237342351941956,1.300755374883367
9,120,Say You Won't Let Go,0.42024830506062605,6B,0.20161724914919904,0.7615673155856233,0.33220213947925353,1.2953867042140759
111,296,Infinity,0.5922739457031974,10A,0.16970126205533276,0.7627335728516695,0.35468495793834875,1.287119792845351
92,209,Befikar,0.5323525349654515,1B,0.1477689780528057,0.5330024174937321,0.5892083479444317,1.2699797434909694
242,106,Drummer Boy,0.6427886251766198,4B,0.04170909017196367,0.5060352072006086,0.711150034931669,1.2588943323042412
130,18,June Ponal,0.5705956931315689,10A,0.11003388274848547,0.47030867134342424,0.6587366742687484,1.2390792283606582
50,30,drivers license,0.4367552099470381,6B,0.13614761739645476,0.7854124763252129,0.31620537977385754,1.2377654734955252
186,225,Nashe Si Chadh Gayi,0.5876896042914117,9A,0.015159841425578247,0.84928288551439,0.363805344226406,1.2282480711663744
167,295,Adada Adada,0.751291846428551,9B,0.21675121029793631,0.4311953611165457,0.5797592883563731,1.2277058597708552
261,49,"Gali Gali (From ""Kgf Chapter 1"")",0.7853172073008222,4A,0.06283036521702001,0.5112067603091142,0.6512456362381576,1.2252827617642916
158,253,"Naah Goriye (From ""Bala"")",0.7305092575259395,7A,0.21396347090148105,0.8147286299616556,0.17376109801494022,1.202453198878077
27,256,"Kaise Hua (From ""Kabir Singh"")",0.40690357527983706,10B,0.15228282035609753,1.0103555479992057,0.01707628036601675,1.17971464872132
83,200,Kya Karein,0.43887981478730803,2B,0.07229110738081845,0.6042241867038841,0.4951925873474413,1.1717078814321438
214,113,As It Was,0.6853354694828655,11A,0.056821730375657076,0.6995390670120976,0.4049796533780634,1.161340450765818
101,126,Let Me Down Slowly / Mai Dhoondhne Ko Zamaney / Kabhi Jo Badal Barsey (Medley),0.5049064751190282,12A,0.1023280687002261,0.6158772417406577,0.39951824291346727,1.117723553354351
32,247,"Yaanji - From ""Vikram Vedha""",0.6049943110840633,8A,0.3403764175457925,0.4872849500124743,0.2490683496618924,1.076729717220159
251,117,Mere Dil Gaaye Ja (Zooby Zooby),0.6865568909829507,4A,0.01593567387178907,0.8098954470536076,0.24049594179992503,1.0663270627253216
78,0,you broke me first,0.40960235436192277,12B,0.05301078556996447,0.34819219898163956,0.5705979201024173,0.9718009046540212
106,130,"Meri Zindagi Hai Tu (From ""Satyameva Jayate 2"")",0.6434034492097517,11A,0.2308279041764183,0.40766560941212143,0.19515828657564144,0.8336518001641811
