method,n_size,trajectory_shape,arc_rmse,total_transition_cost,average_transition_cost,global_coherence,p90_transition,p95_transition,max_transition,dtw_shape,ratio_adherence_rmse,method_time_s,total_time_s
mm_beam_orch_stochastic_repair,120,double_peak,0.15471,97.27217,0.81741,0.85207,1.40653,1.66903,2.65472,9.03232,0.32784,0.19623,0.24303
bibs_tempo_aware,120,double_peak,0.15595,126.85957,1.06605,0.71595,1.93623,2.57924,4.13086,9.85819,0.34169,5.26493,5.31172
bibs_alpha2,120,double_peak,0.16102,133.16946,1.11907,0.67923,2.25901,2.92046,3.98807,10.25405,0.34404,5.01474,5.06155
mm_beam_alpha2,120,double_peak,0.15829,100.76222,0.84674,0.83752,1.46581,1.78792,2.92958,9.34677,0.32922,0.33693,0.38374
bibs_traj_first,120,double_peak,0.15672,128.13685,1.07678,0.70801,1.96602,2.68116,4.13122,9.96297,0.34255,4.74207,4.78887
random,120,inverted_parabola,0.2004,269.39563,2.26383,0.00567,3.37425,3.61091,4.24172,13.95427,0.33016,0.00019,0.04646
transition_greedy,120,inverted_parabola,0.20103,96.13284,0.80784,0.84703,1.32735,1.68475,3.27584,13.38993,0.34074,0.00066,0.04695
arc_assignment,120,inverted_parabola,0.14197,262.07799,2.20234,0.04952,3.33661,3.58942,4.20594,8.93214,0.30115,0.00117,0.04746
flexer_interp,120,inverted_parabola,0.1769,258.36716,2.17115,0.07532,3.28773,3.52891,4.15067,9.4148,0.21028,0.00368,0.04996
forward_beam,120,inverted_parabola,0.18636,100.85255,0.8475,0.83538,1.43641,1.70823,3.01658,12.18039,0.35641,0.20275,0.24903
mm_beam,120,inverted_parabola,0.19739,99.57753,0.83679,0.84387,1.42528,1.72214,2.72988,11.92818,0.33969,0.38938,0.43566
greedy_arc_trans,120,inverted_parabola,0.1889,97.99557,0.82349,0.8422,1.3465,1.71097,3.27891,12.62457,0.34915,0.00136,0.04764
bibs_current,120,inverted_parabola,0.18624,131.04119,1.10119,0.69295,2.04971,2.79061,4.20187,12.57302,0.35408,0.0,0.04629
bibs_repair,120,inverted_parabola,0.18658,123.04662,1.03401,0.754,1.85083,2.2783,3.21054,12.56571,0.35396,0.1645,0.21078
bibs_stochastic,120,inverted_parabola,0.18646,131.4681,1.10477,0.68648,2.02719,2.83281,4.3866,12.20627,0.35471,0.0,0.04629
bibs_stoch_repair,120,inverted_parabola,0.1861,122.41453,1.02869,0.755,1.80207,2.24785,3.36896,12.16681,0.35466,0.16179,0.20808
bibs_parallel,120,inverted_parabola,0.18367,172.5647,1.45012,0.53173,2.58252,2.89055,3.99564,12.63234,0.32783,0.02912,0.07541
mm_beam_stochastic,120,inverted_parabola,0.19739,99.57753,0.83679,0.84387,1.42528,1.72214,2.72988,11.92818,0.33969,0.0,0.04629
mm_beam_stochastic_repair,120,inverted_parabola,0.19739,99.08124,0.83262,0.84715,1.41543,1.68778,2.61493,11.92078,0.33972,0.17305,0.21935
mm_beam_orch_stochastic,120,inverted_parabola,0.19739,99.55863,0.83663,0.844,1.42493,1.71753,2.71178,11.9302,0.33976,0.0,0.04629
mm_beam_orch_stochastic_repair,120,inverted_parabola,0.19739,99.07042,0.83252,0.84719,1.41484,1.67967,2.59683,11.92214,0.33979,0.18038,0.22668
bibs_tempo_aware,120,inverted_parabola,0.18274,129.74614,1.0903,0.69974,1.99204,2.63281,4.15935,12.24182,0.35455,5.66487,5.71115
bibs_alpha2,120,inverted_parabola,0.1847,135.54895,1.13907,0.66655,2.25202,2.97655,4.12125,12.59911,0.35197,5.37638,5.42269
mm_beam_alpha2,120,inverted_parabola,0.19852,102.29623,0.85963,0.83381,1.45614,1.75323,2.85531,11.99368,0.33824,0.3525,0.39879
bibs_traj_first,120,inverted_parabola,0.18634,130.97279,1.10061,0.69302,2.05852,2.77374,4.19729,12.56865,0.35545,5.1018,5.14808
random,120,wave,0.20428,268.74143,2.25833,0.02065,3.30767,3.5822,4.34161,13.05301,0.31557,0.00016,0.04865
transition_greedy,120,wave,0.21081,95.90624,0.80593,0.85086,1.30433,1.64889,3.11553,12.30415,0.32775,0.00066,0.04913
arc_assignment,120,wave,0.09199,258.77343,2.17457,0.07454,3.28242,3.50111,4.15261,5.79559,0.25782,0.00114,0.04962
flexer_interp,120,wave,0.14965,259.31628,2.17913,0.0765,3.2634,3.51856,4.14741,8.95395,0.21271,0.00384,0.05229
forward_beam,120,wave,0.19723,101.32628,0.85148,0.83721,1.4461,1.75961,3.08269,11.91477,0.33808,0.20781,0.25626
mm_beam,120,wave,0.18544,99.88139,0.83934,0.84372,1.40638,1.70123,2.90996,10.46181,0.3201,0.39671,0.4452
greedy_arc_trans,120,wave,0.19266,97.6498,0.82059,0.84592,1.29868,1.68862,3.19991,11.96047,0.32835,0.00121,0.04968
bibs_current,120,wave,0.18842,128.36036,1.07866,0.71258,1.92825,2.5893,4.03225,11.54512,0.33097,0.0,0.04847
bibs_repair,120,wave,0.18831,121.21763,1.01864,0.76367,1.78449,2.20067,3.17123,11.59246,0.33084,0.16669,0.21517
bibs_stochastic,120,wave,0.1862,128.90935,1.08327,0.7081,1.95433,2.56934,4.1324,11.65949,0.32909,0.0,0.04847
bibs_stoch_repair,120,wave,0.18625,121.60222,1.02187,0.7638,1.82448,2.17236,3.10705,11.63616,0.32922,0.16924,0.21772
bibs_parallel,120,wave,0.17171,166.86419,1.40222,0.56723,2.5049,2.83178,3.65805,11.5154,0.30272,0.02615,0.07462
mm_beam_stochastic,120,wave,0.18544,99.88139,0.83934,0.84372,1.40638,1.70123,2.90996,10.46181,0.3201,0.0,0.04847
mm_beam_stochastic_repair,120,wave,0.1852,99.20635,0.83367,0.84847,1.39641,1.70208,2.53913,10.46747,0.32008,0.21741,0.26589
mm_beam_orch_stochastic,120,wave,0.18544,99.88139,0.83934,0.84372,1.40638,1.70123,2.90996,10.46181,0.3201,0.0,0.04847
mm_beam_orch_stochastic_repair,120,wave,0.1852,99.20635,0.83367,0.84847,1.39641,1.70208,2.53913,10.46747,0.32008,0.17522,0.2237
bibs_tempo_aware,120,wave,0.18702,130.05723,1.09292,0.70205,2.012,2.79732,3.99388,11.866,0.32978,5.08663,5.1351
bibs_alpha2,120,wave,0.18919,135.26897,1.13671,0.67148,2.20596,2.98681,4.0965,12.01382,0.33267,4.57011,4.61858
mm_beam_alpha2,120,wave,0.18694,102.18636,0.85871,0.83587,1.44896,1.75776,2.78496,10.84197,0.32384,0.33071,0.37919
bibs_traj_first,120,wave,0.18939,127.82855,1.07419,0.71406,1.89223,2.61639,4.03138,11.65048,0.33206,4.53555,4.58404
