method,n_size,experiment_type,arc_rmse,total_transition_cost,average_transition_cost,global_coherence,p90_transition,p95_transition,max_transition,dtw_shape,ratio_adherence_rmse,method_time_s,total_time_s
mm_beam,90,similar_genres,0.17157,79.94309,0.89824,0.82248,1.5001,1.79526,2.64285,8.41126,0.30953,0.18577,0.21797
greedy_arc_trans,90,similar_genres,0.1815,78.95926,0.88718,0.81747,1.43748,1.80992,3.28498,9.45376,0.32535,0.00091,0.03312
bibs_current,90,similar_genres,0.18072,104.75763,1.17705,0.64865,2.21086,2.95887,4.23352,9.43609,0.3281,0.0,0.0322
bibs_repair,90,similar_genres,0.18059,96.73545,1.08692,0.73185,1.89102,2.26513,3.22256,9.40108,0.32783,0.14705,0.17924
bibs_stochastic,90,similar_genres,0.17987,104.60786,1.17537,0.65319,2.1846,2.88402,4.13165,9.4307,0.32941,0.0,0.0322
bibs_stoch_repair,90,similar_genres,0.18,96.19269,1.08082,0.73731,1.86899,2.23339,3.1879,9.40522,0.32949,0.15726,0.18944
bibs_parallel,90,similar_genres,0.16651,140.99508,1.58421,0.44567,2.79488,3.07903,3.9356,8.66497,0.30755,0.01554,0.04774
mm_beam_stochastic,90,similar_genres,0.17157,79.94309,0.89824,0.82248,1.5001,1.79526,2.64285,8.41126,0.30953,0.0,0.0322
mm_beam_stochastic_repair,90,similar_genres,0.1716,79.52117,0.8935,0.82582,1.48818,1.76274,2.53902,8.41707,0.30965,0.17434,0.20653
mm_beam_orch_stochastic,90,similar_genres,0.17157,79.94309,0.89824,0.82248,1.5001,1.79526,2.64285,8.41126,0.30953,0.0,0.0322
mm_beam_orch_stochastic_repair,90,similar_genres,0.1716,79.52117,0.8935,0.82582,1.48818,1.76274,2.53902,8.41707,0.30965,0.17917,0.21136
bibs_tempo_aware,90,similar_genres,0.1805,104.84638,1.17805,0.64902,2.22944,2.95875,4.11392,9.29232,0.32682,8.35136,8.38356
bibs_alpha2,90,similar_genres,0.18395,108.06651,1.21423,0.62624,2.42926,3.10876,4.02431,9.61273,0.33429,7.82016,7.85237
mm_beam_alpha2,90,similar_genres,0.17704,82.50633,0.92704,0.80845,1.55092,1.84953,2.84583,8.67972,0.31988,0.1603,0.19251
bibs_traj_first,90,similar_genres,0.18089,104.90363,1.17869,0.64716,2.22557,2.98898,4.20266,9.46434,0.3281,7.50006,7.53227
random,120,similar_genres,0.18087,269.543,2.26507,-0.00128,3.34899,3.62805,4.25787,12.95506,0.31468,0.00018,0.04547
transition_greedy,120,similar_genres,0.18794,93.81302,0.78834,0.85356,1.28756,1.62411,3.28783,12.57115,0.3315,0.00069,0.046
arc_assignment,120,similar_genres,0.0927,258.80261,2.17481,0.06358,3.27042,3.51086,4.21088,5.48547,0.26783,0.00096,0.04626
flexer_interp,120,similar_genres,0.14268,261.55776,2.19796,0.04655,3.29854,3.54707,4.25026,9.16144,0.21743,0.00377,0.04906
forward_beam,120,similar_genres,0.17905,98.74461,0.82979,0.84048,1.41091,1.71523,3.08449,11.98879,0.33713,0.18905,0.23434
mm_beam,120,similar_genres,0.17042,97.17081,0.81656,0.85068,1.38911,1.66957,2.69213,10.90432,0.3197,0.3751,0.4204
greedy_arc_trans,120,similar_genres,0.17584,95.66664,0.80392,0.84804,1.33471,1.6762,3.22992,12.16616,0.32687,0.0012,0.0465
bibs_current,120,similar_genres,0.17433,128.42411,1.07919,0.69927,2.00111,2.73779,4.16472,12.08868,0.332,0.0,0.0453
bibs_repair,120,similar_genres,0.17423,120.3357,1.01122,0.76096,1.82136,2.24518,3.28081,12.08024,0.332,0.13155,0.17684
bibs_stochastic,120,similar_genres,0.1743,129.49203,1.08817,0.69418,2.01664,2.77745,4.19363,12.26099,0.33346,0.0,0.0453
bibs_stoch_repair,120,similar_genres,0.17397,121.34228,1.01968,0.75637,1.82419,2.29775,3.20162,12.2616,0.33346,0.13895,0.18425
bibs_parallel,120,similar_genres,0.16379,171.75737,1.44334,0.53245,2.56679,2.8869,3.95189,11.75103,0.31156,0.02309,0.06839
mm_beam_stochastic,120,similar_genres,0.17042,97.17081,0.81656,0.85068,1.38911,1.66957,2.69213,10.90432,0.3197,0.0,0.0453
mm_beam_stochastic_repair,120,similar_genres,0.17036,96.68675,0.81249,0.8539,1.38809,1.64666,2.50203,10.90101,0.31968,0.15853,0.20383
mm_beam_orch_stochastic,120,similar_genres,0.17042,97.15918,0.81646,0.85076,1.38889,1.66674,2.68099,10.90556,0.31974,0.0,0.0453
mm_beam_orch_stochastic_repair,120,similar_genres,0.17036,96.6801,0.81244,0.85392,1.38772,1.64167,2.4909,10.90185,0.31972,0.15765,0.20295
bibs_tempo_aware,120,similar_genres,0.1713,127.40838,1.07066,0.70549,1.96208,2.66363,4.09199,12.08309,0.33253,4.47124,4.51654
bibs_alpha2,120,similar_genres,0.17541,132.5875,1.11418,0.67587,2.2123,2.96045,4.06634,12.22701,0.33427,4.11193,4.15723
mm_beam_alpha2,120,similar_genres,0.17291,100.31497,0.84298,0.83839,1.44832,1.74459,2.85026,11.23942,0.32028,0.30274,0.34805
bibs_traj_first,120,similar_genres,0.17401,128.04932,1.07604,0.70174,1.97239,2.73752,4.15876,12.11461,0.33317,3.94046,3.98577
random,60,all_genres,0.20341,139.02153,2.3563,0.00266,3.46635,3.68513,4.20286,7.14946,0.31975,0.00011,0.01353
transition_greedy,60,all_genres,0.21269,60.55477,1.02635,0.78029,1.6356,2.00857,3.37987,6.9355,0.33371,0.00014,0.01358
arc_assignment,60,all_genres,0.09884,131.4274,2.22758,0.10525,3.31144,3.54346,4.04504,2.89328,0.25289,0.00019,0.01361
flexer_interp,60,all_genres,0.15475,132.77114,2.25036,0.08284,3.38359,3.64189,4.15837,4.88411,0.20585,0.0015,0.01492
forward_beam,60,all_genres,0.19996,62.68106,1.06239,0.76948,1.72045,2.1708,3.26393,6.58294,0.34099,0.02526,0.03868
mm_beam,60,all_genres,0.18975,61.67261,1.0453,0.78141,1.68937,2.00478,2.94564,6.06457,0.3161,0.05259,0.06601
greedy_arc_trans,60,all_genres,0.19789,61.22328,1.03768,0.77637,1.64659,2.03997,3.3512,6.53115,0.32989,0.00034,0.01376
bibs_current,60,all_genres,0.19885,79.61308,1.34937,0.59069,2.5958,3.14789,4.23218,6.80933,0.33662,0.0,0.01342
bibs_repair,60,all_genres,0.19794,71.10387,1.20515,0.70743,2.07347,2.37927,3.06389,6.75559,0.33637,0.08419,0.09762
bibs_stochastic,60,all_genres,0.19768,77.7708,1.31815,0.61721,2.44744,3.03548,4.01887,6.74556,0.33555,0.0,0.01342
bibs_stoch_repair,60,all_genres,0.19676,70.93814,1.20234,0.70757,2.02309,2.39578,3.15441,6.66477,0.33515,0.07973,0.09315
bibs_parallel,60,all_genres,0.18649,95.49094,1.61849,0.48637,2.68335,2.99163,3.81731,6.4639,0.31481,0.00429,0.01772
mm_beam_stochastic,60,all_genres,0.18975,61.67261,1.0453,0.78141,1.68937,2.00478,2.94564,6.06457,0.3161,0.0,0.01342
mm_beam_stochastic_repair,60,all_genres,0.19029,61.05147,1.03477,0.78972,1.65946,1.94783,2.73889,6.07094,0.31631,0.0884,0.10183
mm_beam_orch_stochastic,60,all_genres,0.18975,61.67261,1.0453,0.78141,1.68937,2.00478,2.94564,6.06457,0.3161,0.0,0.01342
mm_beam_orch_stochastic_repair,60,all_genres,0.19029,61.05147,1.03477,0.78972,1.65946,1.94783,2.73889,6.07094,0.31631,0.10837,0.1218
bibs_tempo_aware,60,all_genres,0.19753,79.45563,1.34671,0.59718,2.47295,3.19317,4.10303,6.66157,0.33494,1.19086,1.20428
bibs_alpha2,60,all_genres,0.20374,82.91398,1.40532,0.55642,2.7619,3.34116,4.15137,7.03419,0.33783,0.97458,0.988
mm_beam_alpha2,60,all_genres,0.19563,63.16038,1.07051,0.7698,1.74352,2.08875,2.99656,6.33552,0.32084,0.04885,0.06226
bibs_traj_first,60,all_genres,0.19865,79.71952,1.35118,0.58955,2.60147,3.15091,4.21152,6.80629,0.33758,0.95844,0.97187
random,90,all_genres,0.20564,207.66223,2.33328,0.01984,3.45042,3.69913,4.27136,10.97908,0.32702,0.00013,0.02198
transition_greedy,90,all_genres,0.21031,80.76068,0.90742,0.8268,1.49586,1.83775,3.24191,10.28475,0.3392,0.00032,0.02217
arc_assignment,90,all_genres,0.09854,196.66787,2.20975,0.1136,3.28078,3.52063,4.13558,4.38516,0.25452,0.00043,0.02228
flexer_interp,90,all_genres,0.1574,198.56262,2.23104,0.09567,3.33901,3.60751,4.29583,6.97804,0.19984,0.00209,0.02394
forward_beam,90,all_genres,0.19422,84.60328,0.9506,0.81166,1.58064,1.93496,3.18876,9.60607,0.34545,0.06992,0.09177
