position,track_index,track_id,track_name,artists,track_genre,EV_score,tempo,camelot,energy,valence,key,mode,time_signature,loudness,acousticness,instrumentalness,liveness,speechiness
112,38,0ZHILXmUaVSLEOCWxPQ1ga,Makhna,Tanishk Bagchi;Yasser Desai;Asees Kaur,pop,0.5861166833654117,124.972,3B,0.704,0.426,1,1,4,-7.876,0.167,0.0,0.155,0.0423
113,85,4Vrcjv4sJDfxvhaj1uWqr0,Munbe Vaa,Joshua Aaron,pop,0.3936485676279262,120.085,3B,0.407,0.22,1,1,4,-9.671,0.628,1.73e-06,0.12,0.0334
114,24,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,pop,0.467669794217559,109.891,3B,0.405,0.446,1,1,4,-5.679,0.751,0.0,0.105,0.0319
115,233,3PWYDDiIbO4gTPArrAtir0,Brooklyn Baby,Lana Del Rey,pop,0.3987823907456504,106.316,3B,0.664,0.0941,1,1,4,-6.698,0.542,0.00397,0.11,0.0407
116,260,1L9lVBNz63TWO3mNxbiIa5,Summertime Sadness,Lana Del Rey,pop,0.48976142011767987,111.976,12A,0.674,0.197,1,0,4,-6.125,0.0312,0.0,0.121,0.0329
117,129,7xe9vBhh7elaVAa2ZvuAYM,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey;Cedric Gervais,pop,0.5272006418743214,126.045,12A,0.81,0.106,1,0,4,-5.791,0.0147,6.94e-06,0.13,0.0557
118,2,1gMnyo0OUAL6HDJ39lyVwU,Hold On,Justin Bieber,pop,0.5709291389585256,139.98,12A,0.634,0.29,1,0,4,-5.797,0.0106,0.0,0.132,0.0413
119,80,2Ch7LmS7r2Gy2kc64wv3Bz,Die For You,The Weeknd,pop,0.5489475046539598,133.249,12A,0.525,0.51,1,0,4,-7.163,0.111,0.0,0.134,0.0627
120,126,2VrSkfinwUSNc7uAXiL0FA,Let Me Down Slowly / Mai Dhoondhne Ko Zamaney / Kabhi Jo Badal Barsey (Medley),ShaSings;Xtreeemit,pop,0.5049064751190282,149.566,12A,0.371,0.496,1,0,4,-10.487,0.396,0.0,0.147,0.0431
121,4,32765xcLM1fd6wQIpkN9A0,Hasi - Male Version,Ami Mishra,pop,0.4499543794010393,147.935,11A,0.581,0.231,6,0,4,-5.945,0.433,0.0,0.0577,0.0338
122,255,7wNeq4RKcnjjTbEF5K9qAR,Christmas Eve,Justin Bieber,pop,0.42976563092062287,128.657,11A,0.57,0.336,6,0,4,-10.54,0.687,0.0,0.173,0.0711
123,274,4oNVmnywnXguyk76wkMuIb,Mudhal Nee Mudivum Nee Title Track,Darbuka Siva;Sid Sriram,pop,0.4612211602874427,127.947,2B,0.521,0.353,6,1,4,-10.806,0.641,0.000543,0.102,0.0321
124,214,1AzNN19lPYC68iacrbWL8X,"Mudhal Nee Mudivum Nee Title Track (From ""Mudhal Nee Mudivum Nee"")",Darbuka Siva;Sid Sriram,pop,0.46162057186995104,127.956,2B,0.521,0.355,6,1,4,-10.811,0.632,0.000582,0.102,0.0321
125,200,5Cr5e4NGjmbcem8nugnf4i,Kya Karein,Aditya Rikhari,pop,0.43887981478730803,109.604,2B,0.334,0.457,6,1,4,-11.776,0.612,0.0,0.231,0.0569
126,209,0Qxis7LXvwqhCO2qOKCmLX,Befikar,Tanzeel Khan;Aashna Hegde,pop,0.5323525349654515,129.977,1B,0.502,0.407,11,1,4,-8.958,0.603,0.0,0.08,0.0425
127,264,5mnvugwfFYnJm9zuyGkgqF,"Ghalat Fehmi - From ""Superstar""",Asim Azhar;Zenab Fatimah Sultan,pop,0.6719405157341081,134.014,10A,0.588,0.796,11,0,4,-7.777,0.608,9.3e-05,0.189,0.091
128,296,1SOClUWhOi8vHZYMz3GluK,Infinity,Jaymes Young,pop,0.5922739457031974,121.963,10A,0.673,0.494,11,0,4,-6.941,0.148,5.29e-05,0.304,0.0444
129,204,0oukMLKedsqQ3ltnI2daRO,Haaye Oye (feat. Ash King),QARAN;Ash King,pop,0.6363956559991708,123.959,10A,0.727,0.543,11,0,4,-4.104,0.173,0.0,0.153,0.0383
130,18,6S6DFMfhwIZYHUffVzuWOI,June Ponal,Krishh;Arun,pop,0.5705956931315689,113.028,10A,0.489,0.667,11,0,4,-9.428,0.0386,0.0,0.162,0.0472
131,173,6qZyM6JV8ohLC4S2EL5sFh,Barbaadiyan,Sachet Tandon;Nikhita Gandhi;Madhubanti Bagchi;Sachin-Jigar,pop,0.5990693996548374,126.966,11A,0.57,0.567,6,0,4,-8.645,0.00374,2.47e-06,0.184,0.0462
132,249,3UeFCt66ntAJoabXfp0Bo4,Love's Train,Bruno Mars;Anderson .Paak;Silk Sonic,pop,0.6605611940712552,140.994,11A,0.625,0.784,6,0,4,-9.008,0.029,1.1e-05,0.108,0.0295
133,188,0GPeyv1Oj1LbqyFJHM3j4C,Mistletoe,Justin Bieber,pop,0.6998531725612421,161.948,11A,0.668,0.823,6,0,4,-7.282,0.475,0.0,0.0862,0.0531
